,ave_return,sharp_ratio,total_return,volatility
89,-1.20705157443,-0.0614998574392,-142.432085783,19.6269003652
90,2.23509531171,0.0663547767801,263.741246782,33.684015231
91,1.71494938588,0.111715069193,202.364027534,15.3511016756
92,1.52759503115,0.0903234430813,180.256213676,16.9124977862
93,1.82290690736,0.110279211664,215.103015069,16.5299232726
94,-2.6991399482,-0.0613803470448,-323.896793784,43.9740092416
95,0.139176491526,0.00430330263424,16.4228260001,32.3417856831
96,1.33180458904,0.0532984745038,157.152941507,24.9876680607
97,-1.68459337127,-0.0937527167316,-202.151204552,17.9684752613
98,-0.713962199515,-0.0591308428744,-85.6754639417,12.0742773958
99,-1.25720002748,-0.107291672224,-149.60680327,11.7175918822
100,0.18876845261,0.0180466034902,22.274677408,10.4600543095
101,0.505229885802,0.0352382841095,59.6171265246,14.3375280201
