,ave_return,pairs,sharp_ratio,total_return,volatility
113,0.706695895,"('CNBKA', 'CBRL')",0.0389121,83.39011558,18.16134021
114,-1.702475705,"('CBRL', 'BITA')",-0.066333809,-200.8921332,25.6652789
115,-3.287621308,"('BITA', 'BCS')",-0.095170909,-387.9393144,34.54439331
116,0.764795028,"('BCS', 'TD')",0.049290268,90.24581329,15.51614676
117,2.208052798,"('TD', 'MTB')",0.143023401,260.5502302,15.43840229
118,1.002878712,"('MTB', 'BXP')",0.058698832,118.339688,17.08515607
119,-0.686780532,"('BXP', 'BMRN')",-0.036792167,-82.41366387,18.66648786
120,0.406493821,"('BMRN', 'RY')",0.028702379,47.55977709,14.16237378
121,1.060929316,"('RY', 'HBAN')",0.09134411,123.0678006,11.61464394
122,0.643757716,"('HBAN', 'BCE')",0.073329549,77.2509259,8.778967333
123,0.214088963,"('BCE', 'SWK')",0.019980258,25.26249762,10.71502485
124,1.327663717,"('SWK', 'DSU')",0.12215683,151.3536637,10.86851808
125,-0.646361787,"('DSU', 'B')",-0.062579725,-77.56341443,10.32861333
126,0.104091784,"('B', 'BGCP')",0.005150745,12.28283047,20.20907502
127,2.073113855,"('BGCP', 'BWA')",0.102147326,248.7736626,20.29533163
128,-0.059639553,"('BWA', 'BLL')",-0.003470255,-7.037467226,17.1859267
129,0.700733299,"('BLL', 'TOL')",0.038227953,81.98579602,18.33039009
130,2.70903038,"('TOL', 'SAM')",0.124919182,325.0836456,21.68626422
131,2.341984906,"('SAM', 'BOX')",0.115579215,281.0381887,20.26302836
132,1.0348258,"('BOX', 'BC')",0.03246236,124.179096,31.87771301
133,-2.300374448,"('BC', 'PBI')",-0.061170232,-266.843436,37.60610988
134,-1.535734353,"('PBI', 'CBB')",-0.045497635,-181.2166536,33.75415816
135,-0.132744161,"('CBB', 'BKE')",-0.004447229,-15.79655511,29.84873761
136,2.69153077,"('BKE', 'BGS')",0.087147609,322.9836924,30.88473455
137,-0.191938424,"('BGS', 'BCEI')",-0.007073067,-23.03261084,27.13651826
138,1.701211831,"('BCEI', 'CM')",0.068595353,200.742996,24.80068639
