,index,Ticker,Price,Volume
56,62,FOLD,16.22,1578527.0
57,63,AZO,765.44,69595.0
58,65,AN,60.22,788695.0
59,66,AZN,35.06,1487304.0
60,67,AES,11.56,1572986.0
61,69,BUD,113.48,479737.0
62,70,ARR,23.41,137342.0
63,71,BDX,242.94,325041.0
64,73,AB,27.3,153468.0
65,74,ACOR,25.95,237663.0
66,75,CS,19.34,773285.0
67,76,AFL,88.2,1266449.0
68,77,ADI,91.88,1023847.0
69,79,ACIW,23.44,270987.0
70,80,AMP,168.7,383029.0
71,82,AMTD,55.79,2116379.0
72,83,AEO,18.0,719379.0
73,84,AWK,83.17,370915.0
74,85,NVO,55.5,1546601.0
75,86,ALTR,26.6,164271.0
76,87,ALK,65.73,771386.0
77,88,PAA,20.97,1499604.0
78,89,ARCC,15.95,929500.0
79,90,AAP,116.99,225947.0
80,94,AIV,41.84,405275.0
81,95,AGIO,78.76,221267.0
82,96,AEE,56.63,1405492.0
83,97,UBS,20.32,760908.0
84,99,ARLP,20.5,154115.0
85,100,ANTM,247.85,709601.0
86,103,AFSI,13.42,198120.0
87,104,ABC,99.67,981887.0
88,105,STO,23.44,621862.0
89,106,ATI,26.96,528249.0
90,107,ADT,12.48,2681693.0
91,108,AVB,170.4,438447.0
92,110,ALNY,129.98,340518.0
93,111,LH,174.5,160984.0
94,112,AVY,122.68,463688.0
95,114,ASH,72.59,496304.0
96,119,ACXM,27.07,245568.0
97,121,ACET,11.01,248753.0
98,122,ABMD,235.0,576519.0
99,123,ABM,38.03,95923.0
100,126,ATO,82.9,201204.0
101,128,AON,142.17,415356.0
102,130,ADC,48.14,86912.0
103,131,APU,47.24,116511.0
104,132,SAVE,42.12,143520.0
105,134,AKRX,32.22,463756.0
106,135,ADS,256.66,80079.0
107,136,ABAX,71.65,100522.0
108,137,AYI,154.44,296936.0
109,140,AMT,147.7,769713.0
110,141,ALDR,14.15,2027091.0
111,142,ACM,39.11,185335.0
112,145,ARW,81.34,118289.0
113,146,ARI,18.17,538576.0
114,148,AR,19.43,923814.0
115,150,AMC,12.8,962827.0
116,151,AL,48.62,122130.0
117,153,AAN,40.89,143851.0
118,154,WTR,36.21,204238.0
119,155,FCAU,24.17,1240676.0
120,156,BAH,39.18,532655.0
121,158,AVT,42.5,370548.0
122,159,ALB,111.59,619608.0
123,160,AIZ,91.48,63665.0
124,161,SAIC,76.65,41855.0
125,162,CAR,44.96,332601.0
126,164,AU,11.28,936841.0
127,166,APH,92.77,288015.0
128,170,AI,10.5,192674.0
129,172,WMC,9.33,247947.0
130,173,JKHY,124.66,111984.0
131,174,AVAV,51.36,136881.0
132,175,AMKR,10.06,424832.0
133,177,ACH,16.87,19281.0
134,178,ERC,13.06,83546.0
135,181,AEIS,71.13,195325.0
136,182,Y,627.7,20647.0
137,183,MTGE,17.0,223274.0
138,184,CENX,22.25,625828.0
139,188,AMAG,14.35,311686.0
140,189,ALKS,57.17,308944.0
141,191,ADES,8.06,121537.0
142,193,AAON,36.4,43576.0
143,194,XLRN,41.51,180069.0
144,195,VRSK,100.05,748074.0
145,197,OA,131.9,174892.0
146,199,APTS,16.67,202005.0
147,200,APO,35.75,916881.0
148,202,ALG,115.03,16637.0
149,206,RBA,32.52,397414.0
