,index,Ticker,Price,Volume,Rank
1121,2649,TRV,149.92,423165.0,870.0
1122,2650,KMB,117.0,722150.0,567.0
1123,2651,FTR,8.19,676655.0,600.0
1124,2652,CELG,101.16,3235073.0,84.0
1125,2654,GD,222.48,545313.0,707.0
1126,2656,MON,121.8,1023877.0,392.0
1127,2657,EXC,38.51,1414332.0,261.0
1128,2658,DUK,78.5,1378288.0,270.0
1129,2659,UAL,67.82,1687063.0,210.0
1130,2661,KSS,64.77,864911.0,473.0
1131,2662,MRO,18.19,4389960.0,52.0
1132,2663,HPE,16.4,5105724.0,44.0
1133,2664,ETFC,52.7,1227340.0,313.0
1134,2665,RTN,208.94,523648.0,740.0
1135,2666,VLO,95.97,1852998.0,192.0
1136,2667,SYMC,27.23,7355570.0,25.0
1137,2668,DVN,41.37,2553966.0,122.0
1138,2669,DISH,46.9,696629.0,592.0
1139,2670,CERN,69.13,528162.0,733.0
1140,2671,STX,55.2,2678697.0,113.0
1141,2672,ESRX,79.18,1931642.0,180.0
1142,2673,OXY,74.97,892253.0,463.0
1143,2674,CSX,56.77,1638627.0,217.0
1144,2675,MPC,69.27,1705095.0,207.0
1145,2676,CTSH,77.98,1208418.0,320.0
1146,2677,KR,30.36,1907444.0,186.0
1147,2678,LVS,77.52,2390225.0,136.0
1148,2679,LRCX,191.52,1416071.0,259.0
1149,2680,CBS,57.61,1565722.0,235.0
1150,2681,WY,37.54,2476047.0,130.0
1152,2683,CA,35.85,1192682.0,327.0
1153,2685,FAST,54.96,1855646.0,190.0
1154,2687,O,53.19,1268406.0,301.0
1155,2688,IP,62.86,1369291.0,272.0
1156,2689,PPL,31.87,1743553.0,204.0
1158,2691,GME,16.81,1091194.0,365.0
1159,2692,CTL,17.81,3002949.0,92.0
1161,2694,EL,134.96,729020.0,565.0
1162,2695,DDD,10.24,658289.0,611.0
1163,2696,COF,103.96,525674.0,737.0
1164,2698,GLW,31.22,2918817.0,96.0
1165,2699,CF,42.44,600005.0,656.0
1166,2700,NEM,40.51,1241295.0,309.0
1167,2701,WDC,88.98,1578244.0,231.0
1168,2702,GT,34.82,1163829.0,338.0
1169,2703,KLAC,109.8,606387.0,652.0
1170,2704,XRX,34.13,3100184.0,89.0
1171,2706,CB,156.15,736003.0,561.0
1174,2709,RF,19.23,3191182.0,85.0
